3,-0.670725,2.463575,-0.334271,-0.480487,3.267448,-0.303122,-0.239683,3.267449,-0.327115
3,-0.239683,3.267449,-0.327115,-0.337171,2.443521,-0.361619,-0.670725,2.463575,-0.334271
3,-0.670725,2.463575,-0.334271,-0.337171,2.443521,-0.361619,-0.389396,1.466184,-0.368095
3,-0.389396,1.466184,-0.368095,-0.757347,1.953962,-0.338581,-0.670725,2.463575,-0.334271
3,0.001122,2.443501,-0.374901,-0.337171,2.443521,-0.361619,-0.239683,3.267449,-0.327115
3,-0.239683,3.267449,-0.327115,0.001121,3.267449,-0.339112,0.001122,2.443501,-0.374901
3,-0.188786,-6.013589,0.194047,-0.211500,-6.183796,0.307555,-0.312766,-5.850695,0.270970
3,-0.312766,-5.850695,0.270970,-0.280194,-5.750708,0.145427,-0.188786,-6.013589,0.194047
3,-0.280194,-5.750708,0.145427,-0.312766,-5.850695,0.270970,-0.411213,-5.422231,0.222882
3,-0.411213,-5.422231,0.222882,-0.380278,-5.308675,0.052528,-0.280194,-5.750708,0.145427
3,-0.070945,-6.456089,0.476212,-0.070944,-6.456076,0.381527,0.001123,-6.479796,0.382243
3,0.001123,-6.479796,0.382243,0.001123,-6.479812,0.476212,-0.070945,-6.456089,0.476212
3,-0.218096,-6.231586,0.473428,-0.218098,-6.232850,0.372284,-0.143501,-6.373725,0.379718
3,-0.143501,-6.373725,0.379718,-0.143346,-6.373654,0.475395,-0.218096,-6.231586,0.473428
3,-0.462525,-4.647697,-0.059305,-0.477996,-4.011959,-0.127079,-0.238436,-4.052310,-0.155595
3,-0.238436,-4.052310,-0.155595,-0.229495,-4.694009,-0.090832,-0.462525,-4.647697,-0.059305
3,-0.238436,-4.052310,-0.155595,0.001124,-4.072485,-0.169852,0.001124,-4.717165,-0.106595
3,0.001124,-4.717165,-0.106595,-0.229495,-4.694009,-0.090832,-0.238436,-4.052310,-0.155595
3,-0.662840,-3.770463,0.129861,-0.681996,-2.406479,0.102808,-0.648615,-2.451575,0.053846
3,-0.648615,-2.451575,0.053846,-0.632220,-3.810467,0.087298,-0.662840,-3.770463,0.129861
3,-0.411213,-5.422231,0.222882,-0.485153,-5.067677,0.188964,-0.380278,-5.308675,0.052528
3,-0.505975,-5.019827,0.216053,-0.604830,-4.414498,0.165738,-0.581257,-4.453128,0.128458
3,-0.581257,-4.453128,0.128458,-0.485153,-5.067677,0.188964,-0.505975,-5.019827,0.216053
3,-0.280194,-5.750708,0.145427,-0.380278,-5.308675,0.052528,-0.188371,-5.348706,0.022294
3,-0.188371,-5.348706,0.022294,-0.127837,-5.797968,0.119830,-0.280194,-5.750708,0.145427
3,-0.188786,-6.013589,0.194047,-0.280194,-5.750708,0.145427,-0.127837,-5.797968,0.119830
3,-0.127837,-5.797968,0.119830,-0.102821,-6.169466,0.211369,-0.188786,-6.013589,0.194047
3,0.001125,-5.834626,0.112608,0.001123,-6.234143,0.213553,-0.102821,-6.169466,0.211369
3,-0.102821,-6.169466,0.211369,-0.127837,-5.797968,0.119830,0.001125,-5.834626,0.112608
3,-0.188371,-5.348706,0.022294,0.001125,-5.368722,0.007177,0.001125,-5.834626,0.112608
3,0.001125,-5.834626,0.112608,-0.127837,-5.797968,0.119830,-0.188371,-5.348706,0.022294
