4,-2.311637,-0.694561,-3.544999,-2.216030,-0.718466,-3.550312,-2.237412,-0.718310,-3.453476,-2.274177,-0.700823,-3.493332
4,-2.242418,-0.670780,-3.603985,-2.252369,-0.593882,-3.594838,-2.236273,-0.595460,-3.609674,-2.232824,-0.664745,-3.612827
4,-2.318035,-0.619374,-3.534322,-2.269500,-0.611681,-3.477617,-2.256065,-0.599883,-3.497536,-2.279916,-0.591189,-3.569450
4,-2.256065,-0.599883,-3.497536,-2.216268,-0.584619,-3.479289,-2.217004,-0.563472,-3.546731,-2.279916,-0.591189,-3.569450
4,-2.248432,-0.608506,-3.452387,-2.216268,-0.584619,-3.479289,-2.256065,-0.599883,-3.497536,-2.269500,-0.611681,-3.477617
4,-2.130906,-0.752785,-3.525439,-2.146592,-0.753290,-3.515894,-2.173295,-0.739483,-3.498862,-2.160196,-0.740642,-3.534871
4,-2.130906,-0.752785,-3.525439,-2.072008,-0.754514,-3.532149,-2.073251,-0.771183,-3.509887,-2.146592,-0.753290,-3.515894
4,-2.130906,-0.752785,-3.525439,-2.160196,-0.740642,-3.534871,-2.075843,-0.725969,-3.567215,-2.072008,-0.754514,-3.532149
4,-2.145596,-0.671366,-3.617152,-2.145684,-0.574165,-3.612392,-2.073513,-0.557273,-3.614725,-2.075737,-0.639359,-3.618946
4,-2.216030,-0.718466,-3.550312,-2.160196,-0.740642,-3.534871,-2.173295,-0.739483,-3.498862,-2.237412,-0.718310,-3.453476
4,-2.177115,-0.740468,-3.453946,-2.237412,-0.718310,-3.453476,-2.173295,-0.739483,-3.498862,-2.146592,-0.753290,-3.515894
4,-2.232824,-0.664745,-3.612827,-2.236273,-0.595460,-3.609674,-2.145684,-0.574165,-3.612392,-2.145596,-0.671366,-3.617152
4,-2.216268,-0.584619,-3.479289,-2.131366,-0.541920,-3.463584,-2.161187,-0.539198,-3.525363,-2.217004,-0.563472,-3.546731
4,-2.252834,-0.677322,-3.594398,-2.242418,-0.670780,-3.603985,-2.232824,-0.664745,-3.612827,-2.210310,-0.680913,-3.595814
4,-2.142722,-0.670564,-3.617367,-2.145596,-0.671366,-3.617152,-2.075737,-0.639359,-3.618946,-2.075465,-0.675693,-3.620874
4,-2.311637,-0.694561,-3.544999,-2.274177,-0.700823,-3.493332,-2.269500,-0.611681,-3.477617,-2.318035,-0.619374,-3.534322
