4,-2.302601,-0.721107,-3.557395,-2.302601,-0.721107,-3.494693,-2.302601,-0.658406,-3.494693,-2.302601,-0.658406,-3.557395
4,-2.239900,-0.721107,-3.557395,-2.177199,-0.721107,-3.557395,-2.177199,-0.721107,-3.494693,-2.239900,-0.721107,-3.494693
4,-2.239900,-0.721107,-3.557395,-2.239900,-0.658406,-3.557395,-2.177199,-0.658406,-3.557395,-2.177199,-0.721107,-3.557395
4,-2.177199,-0.595704,-3.557395,-2.177199,-0.595704,-3.494693,-2.177199,-0.533003,-3.494693,-2.177199,-0.533003,-3.557395
4,-2.239900,-0.595704,-3.494693,-2.177199,-0.595704,-3.494693,-2.177199,-0.595704,-3.557395,-2.239900,-0.595704,-3.557395
4,-2.302601,-0.721107,-3.557395,-2.239900,-0.721107,-3.557395,-2.239900,-0.721107,-3.494693,-2.302601,-0.721107,-3.494693
4,-2.302601,-0.721107,-3.557395,-2.302601,-0.658406,-3.557395,-2.239900,-0.658406,-3.557395,-2.239900,-0.721107,-3.557395
4,-2.239900,-0.721107,-3.494693,-2.239900,-0.658406,-3.494693,-2.302601,-0.658406,-3.494693,-2.302601,-0.721107,-3.494693
4,-2.302601,-0.595704,-3.494693,-2.239900,-0.595704,-3.494693,-2.239900,-0.595704,-3.557395,-2.302601,-0.595704,-3.557395
4,-2.239900,-0.658406,-3.620096,-2.239900,-0.595704,-3.620096,-2.177199,-0.595704,-3.620096,-2.177199,-0.658406,-3.620096
4,-2.302601,-0.658406,-3.557395,-2.302601,-0.658406,-3.494693,-2.302601,-0.595704,-3.494693,-2.302601,-0.595704,-3.557395
4,-2.177199,-0.721107,-3.620096,-2.177199,-0.721107,-3.557395,-2.177199,-0.658406,-3.557395,-2.177199,-0.658406,-3.620096
4,-2.239900,-0.658406,-3.620096,-2.177199,-0.658406,-3.620096,-2.177199,-0.658406,-3.557395,-2.239900,-0.658406,-3.557395
4,-2.177199,-0.595704,-3.620096,-2.177199,-0.595704,-3.557395,-2.177199,-0.533003,-3.557395,-2.177199,-0.533003,-3.620096
4,-2.239900,-0.595704,-3.557395,-2.177199,-0.595704,-3.557395,-2.177199,-0.595704,-3.620096,-2.239900,-0.595704,-3.620096
4,-2.239900,-0.658406,-3.620096,-2.239900,-0.658406,-3.557395,-2.239900,-0.595704,-3.557395,-2.239900,-0.595704,-3.620096
